tokens,label
chất_lượng sản_phẩm kém shop phục_vụ kém không tiền,NEG
chất vải không đẹp mẫu áo mua shop,NEG
hơi tưởng_tượng,POS
shop,NEG
hàng đẹp lắm,POS
áo hình mặc đẹp,POS
shop,POS
chất_lượng sản_phẩm kém nhu_giẻ lau_nha lua_gạt không hinh,NEG
shop phục_vụ tiền đóng_gói sản_phẩm đẹp giao hơi chậm ok shop,POS
đăng_ký sỉ,POS
nửa hàng,NEG
sản_phẩm đẹp hình,POS
chất ok quần rộng không hình,POS
sản_phẩm kém màu,NEG
áo len nhanh_dão hàng y_hình,NEU
sản_phẩm,POS
giày nguyên_hộp,POS
shop hàng sản_phẩm đa_dạng giá rẻ chất_lượng,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng nhanh_ngàn shop,POS
chất vải tạm ổn,POS
đẹp rẻ,POS
chủ shop dễ_thương tư_vấn nhiệt_tình,POS
hài_lòng sản_phẩm shop,POS
sản_phẩm đẹp hình,POS
shop phục_vụ nhiệt_tình,POS
áo chất cotong cong dã,POS
shop,POS
ưng không chất vải trơn ảnh gập_nếp nhăn,NEU
sai_lầm mua quần_áo shopi rẻ rách,NEG
sản_phẩm bình_thường hơi thất_vọng ảnh lung_linh,NEU
buôn_bán không uy_tín,NEG
ok sản_phẩm,POS
hàng đẹp vải hài_lòng,POS
bám dơ_giặt,NEG
đẹp mo ta se ung_ho shop,POS
vải đẹp giao hàng ao,NEU
giao hàng shop nhiệt_tình,POS
áo đẹp giá tiền,POS
thoải_mái,POS
chất nóng cứng,NEG
đóng_gói sản_phẩm đẹp hàng mặc thử sờ vải mềm tặng,POS
chất_lượng sản_phẩm tuyệt_vời vải dày dặn cực đẹp giá tiền,POS
áo hình vải hơi mỏng,NEG
đóng_gói đẹp,POS
rộng không mặc đường may kém deal,NEG
shop phục_vụ giao hàng nhanh_đam mac đẹp,POS
chất_lượng sản_phẩm tuyệt_vời nhung lam_ích lai_mot chuc_la ok,POS
giày đẹp lắm ạ_shop phục_vụ tiền,POS
size ok màu hình hơi hình người_mẫu một_chút vải mát dễ_chịu trẻ_trung,NEU
hàng không giong hinh,NEG
không mua size,POS
áo chật_ngắn gầy,NEG
hàng đẹp to mặc,NEU
lỗi xước ống_kính,NEG
sản_phẩm,POS
đóng_gói sản_phẩm đẹp,POS
quần đẹp rẻ,POS
sản_phẩm đẹp tiền_phối đồ đẹp_suất sắc,POS
vải đẹp size,POS
shop phục_vụ tốt_shop phục_vụ tốt_shop phục_vụ,POS
shop giao hàng áo lỗi nhắn_tin đổi không trả_lời,NEG
vải không đẹp,NEG
tả mỏng không thấm,NEG
giúp dễ_dàng bé không sợ đau bé hợp_tác,POS
hàng ok giá tiền,POS
đóng_gói kĩ_lưỡng quà tặng khuyến_mãi êm,POS
shop phục_vụ,POS
áo không hình giao sai màu,NEG
hàng bẩn cũ rách,NEG
nhân_viên giao hàng nhiệt_tình,POS
hạt nguyên vỏ bóc chất_lượng hơi cực_tí hạt,POS
không shop sẵn hàng không shop giao hàng vdon,NEG
áo đẹp hơi nhăn_xíu giặt hình_thêu đẹp,POS
gjao hàng_không mau dat,NEG
quần xinh ủng_hộ shop,POS
giao hàng nhanh_shop phục_vụ,POS
mua giá ok hàng đẹp,POS
chất_lượng đẹp lắm,POS
siêu xinh,POS
hàng đẹp buồn cái_là giao hàng chậm,POS
ưng lắm ah,POS
chất_lượng sản_phẩm kém không tiền,NEG
minhmmac mình_hoi ngắn,NEU
chất_lượng sản_phẩm tốt_shop phục_vụ đồng_tiền giao hàng,POS
chất_lượng tạm giá miếng mút mềm_mỏng không dáng ngực mặc,NEU
đóng_gói đẹp chất_lượng sản_phẩm tuyệt_vời,POS
áo đẹp y_hình cám_ơn shop_shop vô_cùng dễ_thương,POS
hơi mỏng ảnh đẹp,POS
shop phục_vụ tốt_đổi nhanh_chóng,POS
quần_jean size gửi bộ_đồ đen làm_dẻ lau không xứng lừa_đảo,NEG
đóng_gói sản_phẩm đẹp shop phục_vụ tiền chất_lượng sản_phẩm tuyệt_vời áo đẹp,POS
không ph nơ,NEG
giao hàng không tưởng,POS
makeup ngắn ok,NEG
tin_tưởng shope mal thanh_toán thẻ hàng xác_nhận khui hàng thất_vọng shop,NEG
mặc dặm hơi ngứa sợi len bám quần_đen bẩn lắm,NEG
màu siêu_xinh,POS
jump nhỏ_con mặc hơi rộng kg,NEG
áo đẹp chất xịn mặc cực mát,POS
shop tư_vấn nhiêt_tình tâm,POS
shop tâm,POS
mua quần_ngố,NEU
mong shop chú_ý,NEU
day đan áo ngắn không đan het vô lỗ,NEG
case đẹp,POS
shop tư_vấn áo đẹp dày chất_liệu không mát lắm,POS
hàng vỡ không,NEG
không y_ảnh,NEG
chất_lượng sản_phẩm tuyệt_vời đẹp tuyệt_vời,POS
shop,POS
áo cực đẹp,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắchắn ok ung_ho shop,POS
ví_shop giao mẫu da ví_dày hầu_như không hư_hại,POS
xứng_đáng_giá tiền,POS
áo chất hơi thô_mỏng không mịn,NEG
shop tu_van nhiet_tinh,POS
monh shop trả_lời phản_hồi,NEG
shop hàng dễ_thương mua hàng quà tặng ủng_hộ shop tiếp,POS
hàng i_hình chất đẹp,POS
ngực mặc đẹp,POS
chất_lượng hợp giá tiền rách,NEU
sai màu shop,NEG
tuyệt_vời uy_tín chất_lượng hàng_đầu,POS
quần_rách đành,NEG
áo đẹp nha shop,POS
dự_định đặt_hàng bướm chữ_y hình_số shop gửi bướm chữ nhầm không complain chất_lượng sản_phẩm tuyệt_vời dây áo ngực mặc mút nâng,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp sản_phẩm đẹp ủng_hộ,POS
áo nách hơi chật_mặc không thoải_mái lắm,NEU
áo chất thô_ráp,NEG
chất ổn,NEU
mặc đẹp,POS
shop không suport online thường_xuyên,NEG
ủng_hộ shop,POS
nha kon tui trời đẹp,POS
tặng shop,POS
giao hàng kêu tiền không,NEG
làm_ăn kì shope,NEG
đóng_gói sản_phẩm đẹp tiền giao hàng tiền,POS
tiếc,NEU
size_xl giao size xl size xl,NEG
hàng may_kĩ giá tiền sản_phẩm không chê,POS
chất_lượng sản_phẩm kém không hình,NEG
ưng giá,POS
fresize bé kg mặc in dày dặn giá ok,POS
hàng hình,POS
ok nha,NEU
khăn mỏng nhẹ,POS
rộng mền,NEG
tạm cới giá tiền,NEU
xinh lắm,POS
đẹp,POS
,POS
túi đẹp,POS
áo không chỗ ghi size,NEG
màu đậm ảnh chất vải mát_mềm nhẹ đóng_gói sản_phẩm đẹp giao hàng,POS
sản_phẩm tạm,NEU
đẹp mong_đợi giao hàng cực ủng_hộ shop bình_luận sợ dãn áo áo len giặt phơi ngang chiều áo đừng phơi áo phơi thông_thường áo len không giãn mặc mấy áo_form đẹp,POS
chất_lượng bề_ngoài không hình,NEG
hàng oki chất vải mịn không thô,POS
phục_vụ shop,POS
cám_ơn shop_nha,POS
giao hàng đồng_tiền,POS
mỏng không hình,NEG
hàng ổn giá,NEU
đẹp va chat_nua,POS
màu đánh đẹp,POS
rat hai long,POS
đầu mua hàng shope ưng_ý chất vải giá tiền trừ giao hàng hơi chậm quần_đẹp không hihi,POS
áo xinh lắm form hơi,POS
áo mỏng chỗ bẩn,NEG
shop phục_vụ nhiệt_tình,POS
may dính vạt,NEG
hàng đẹp giá đẹp,POS
nhắn_tin shop gửi shop không trả_lời,NEG
moi dat them bo_nua,POS
sản_phẩm tạm giá tiền,NEU
mua shop rùi mặc_dù đông chủ trả_lời tn tư_vấn nhiệt_tính,POS
tặng ao cám ob shop,POS
đầm đẹp vải dày_dặn hơi kén_dáng quấn miếng vải hơi mệt,POS
sản phân ưng ýe,POS
áo cực mát vải mịn,POS
tiết_kiệm cát,POS
chất_lượng sản_phẩm tuyệt_vời tgian giao hàng hơi chậm,NEU
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp đóng_gói sản_phẩm đẹp shop phục_vụ tốt_shop phục_vụ tốt_shop phục_vụ,POS
cám_ơn shop nà chúc shop buôn_may đắt nha,POS
đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng mua ủng_hộ shop,POS
giày đẹp giao hàng mn bảo size rộng bt đi_lại hơi chặt hi_vọng dãn,POS
shop,POS
nghi đặt_hàng trắng giao_cai màu vàng bo,NEG
sản_phẩm đẹp vừa_lòng,POS
màu không hình,NEU
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng,POS
ủng_hộ,POS
mua shop gửi,NEG
chất vải đẹp giá tiền,POS
túi hơi mong_đợi,NEG
shop nhiệt_tình chu_đáo dịp ủng_hộ tiếp,POS
váy đẹp shop tư_vấn nhầm size,NEU
áo đẹp chất_lượng sản_phẩm tuyệt_vời tiền,POS
chất vải dày_dặn không nhăn chất vải đẹp hình,POS
size rộng size kia shop ah,NEG
shop,POS
áo đẹp chất_lượng sản_phẩm tuyệt_vời,POS
áo hình,NEG
shop phục_vụ chất_liệu dày_dặn chuẩn màu,POS
order size_sao vận_chuyển,NEG
đẹp giá tiền rộng huhu,POS
đừng mua shop nua,NEG
váy đẹp y_hình,POS
chất vải kém,NEG
áo đẹp,POS
giày đẹp không size,NEU
chất ok,POS
chất_lượng sản_phẩm ok giá rẻ,POS
dây đeo đầu không đứt chỗ điện_thoại không,NEG
chuẩn chất kate_thái mềm mịn_mát nhẹ thoải_mái không nhăn nhăn nhẹ mặc chút,POS
giao hàng,POS
giao hàng hàng chất_lượng ok,POS
áo shop làm_ăn cẩu_thả không đọc nhắn_khách bảo áo màu đem si giao màu quỳ,NEG
hàng_không giống_hình lắm,NEG
khử mùi,POS
vai mong_duong chi_may giong hang,NEG
đẹp shop,POS
chất_lượng bổ rẻ,POS
lai áo_may không,NEG
chất_lượng sản_phẩm giao hàng chậm,NEU
áo mềm vải mịn lắm đóng_gói đẹp ủng_hộ shop,POS
giày đẹp nè đầy_đủ giao hàng,POS
cực_kì hài_lòng giá tiền chất_lượng giá rẻ check chuẩn hàng auth,POS
khô gà chất_lượng,POS
chủ shop vui_tính zt,POS
shop sim lừa_đảo in giấy đăng_ki cú pháp dk_gói vdp đăng_kí điện_thoại làm_ăn kì_cục,NEG
màu không hình chất_lượng sản_phẩm tạm,NEU
giấy dày cứng_cáp,POS
giá tiền dể_thương ưng_ý,POS
chất vải mịn mặc nóng kg coton chất_lượng tương_đương giá tiền,NEG
rộng,NEU
quần rộng_rãi thoải_mái,POS
mất_công đem giặt,NEG
rốn chút xíu,NEU
size mặc không,NEG
chấm sản_phẩm,POS
áo đẹp chất thun đẹp đường may đẹp,POS
đẹp giá,POS
sản_phẩm tam_duoc giao hàng,NEG
chất_lượng sản_phẩm tuyệt_vời gối êm lắm vải sờ_mướt mong_đợi,POS
mua online hàng y_hình ny đẹp y_như thử đầm nữ vải đẹp mềm_mịn chuẩn_form cám_ơn shop ủng_hộ shop,POS
hợp da,POS
thất_vọng tin_tưởng shop,NEG
mặc tạm chụp ảnh chấp_nhận,NEG
mua giao nhầm trừ shop,NEG
giá_cả mềm chất_lượng,POS
sản_phẩm ưng_ý shop phục_vụ nhiệt_tình,POS
váy không phồng lắm,NEG
hàng chủ inbox tư_vấn tận_tình đổi mẫu màu đỏ ưng,POS
đường không,NEG
chất_lượng sản_phẩm đồng_tiền giao hàng,POS
giao hàng rõ_ràng_bộ sản_phẩm giao xịt khoáng,NEG
đóng_gói sản_phẩm đẹp giá_cả,POS
chất_lượng bình_thường không hài_lòng sản_phẩm chất_lượng sản_phẩm kém,NEG
hàng đẹp mua,POS
ủng_hộ,POS
chất_lượng sản_phẩm tuyệt_vời giao hàng,POS
moi ảnh nè mặc kịp giật thun_dệt ren đứt trơn đem quăng sọt rác giặt không mặc mấy cộng rơi thun đứt đứt shop lừa_đảo,NEG
mua,POS
giao hàng siêu,NEG
chất tạm mẫu_mã sản_phẩm rách nhẹ shop kiểm_tra cẩn_thận,NEU
giao,POS
tư_vấn đem giá_thành hợp_lí,POS
hơi tiếc chút,NEU
áo dày dặn màu đẹp mặc form ok,POS
size màu nude size màu đen,NEU
kb giặt phai màu không thui giá rẻ vote shop,NEU
chất_lượng sản_phẩm tuyệt_vời kiểu_dáng đẹp hình tiền giao hàng,POS
áo hơi chất_lượng in không đẹp lắm giá tiền,NEU
chỗ đen giao đg kẻ,NEG
sản_phẩm dong_goi can than vai len đẹp_minh rat hai long_ve sản_phẩm,POS
giao hàng đóng_gói hàng,POS
chất_lượng áo ok,POS
chất đẹp,NEG
dẹp ủng_hộ shop,POS
sh gửi tông xoẹt_tông xanh xanh màu cực_kì cám_ơn shop nhìu,POS
sản_phẩm rat đẹp da mem rat thich,POS
tạm da không khuyết_điểm ok kiềm đầu,NEU
áo đẹp lắm hơp ban mặc sexy_tí nách hơi sâu vải dày mát,POS
vote hihi giao hàng,POS
chất_lượng sản_phẩm tuyệt_vời chủ shop xinh_gái dễ_tính phục_vụ chuyên_nghiệp,POS
chất_lượng sản_phẩm tuyệt_vời shop đóng_gói chán hộp bung túi bung may không bẩn váy áo,NEU
sản_phẩm,POS
hàng chất đẹp,POS
ánh_sáng,NEG
váy hơi mỏng_dáng ôm đẹp,POS
áo chất đẹp màu xinh_y_ảnh bõ_công chờ_đợi,POS
đóng_gói sản_phẩm đẹp giao hàng gà hơi cay mặn chất_lượng tiếp,POS
chất_lượng sản_phẩm tạm,POS
giao hàng siêu áo đẹp hàng chuẩn,POS
ổn,POS
chất_lượng sản_phẩm không,NEG
hộp phấn vỡ tung tóe,NEG
giao hàng thần_tốc,POS
tội màu đen màu ghi,POS
tiền,NEG
hồng_nhiu đỏ,NEG
hàng đẹp chất ok,POS
áo hình_chất sờ_hơi cứng ak,NEU
giao hàng hơi,NEU
không chỗ chê,POS
shop giao hàng tem_mác đầy_đủ hàng hình,POS
may không đẹp,NEG
chất_lượng sản_phẩm tuyệt_vời,POS
ok lắm shop_phục vu tận_tình,POS
nút hihi,POS
màu_sắc mẫu áo_đẹp hình,POS
giày vàng hơi buồn_shop,NEG
ủng_hộ shop nhìu,POS
dây không chuẩn bù chất_âm,NEU
váy trắng hơi mỏng,NEU
màu hồng màu nâu shop giao màu hồng màu trắng,NEG
form không chuẩn,NEG
áo đẹp shop phục_vụ giao hàng,POS
vải mỏng dáng quần không đẹp ah mặc khó_coi lắm,NEG
màu hồng đẹp,POS
chất_liệu da,POS
hàng mẫu,POS
chuc shop đăt hàng nke,POS
giao hàng,POS
áo phai màu,NEG
sản_phẩm tạm chất vải dày ok đầm mặc hơi mỏng,POS
shop phục_vụ tốt_chất,POS
duoc tay_hoi ngắn,NEG
rộng_rãi thoải_mái chất hơi nóng_tí mùa đông,POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời vải mịn mát,POS
tặng gương xinh,POS
áo chữ nga rộng,NEG
chủ shop auto_cute tư_vấn nhiệt_tình,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp tiền giao hàng,POS
ao đẹp y_hình_dong gọi sản_phẩm chac_chan giao hang nhanh_chu nhiet tinh_minh se uho shop dai_dai,NEG
nạp hơi,NEU
vải áo sơ_mi hơi mỏng đẹp nhe,POS
không ôm không,NEG
không tác_dụng thơm,NEG
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp,POS
sản_phẩm xóa_hạn nắp bình_o nêm_phong lẻ hàng tận_dụng,NEG
không hàg,NEG
mua hàng cungz ưng_ý,POS
giày đẹp êm_mềm giày buộc dây hơi form,POS
chất_lượng kém giao không size,NEG
tiện_ích,POS
hàng nha shop,POS
shop phục_vụ sop giao nhầm màu,POS
áo form to đẹp chất đẹp,POS
hàng hơi mỏng,NEG
áo đẹp lắm shop tặng miếng mặt_nạ,POS
giao hàng,POS
quần không chữ hình,NEG
ủng_hộ shop,POS
hàng đợt mẫu_mã lẫn chất_lượng,POS
hơi mỏng ok,POS
giày nhẹ mẫu xinh,POS
ổn hàng đẹp chủ_shop nói_chuyện hài_hòa giải_quyết vòng nốt nhạc,POS
size mốc,NEG
suy_nghĩ kĩ đặt_hàng kẻo hàng,NEG
hợp,POS
gửi nhầm size rộng,NEG
hàng hình vải ok giao hàng max chủ_shop nhiệt_tình,POS
gho mặc áo,NEU
chất phi_bóng nóng,NEG
đồ đẹp shop giao hàng nhiệt_tình,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng nhanh_shop phục_vụ siêu vải lắm hihi,POS
đồ đẹp hài_lòng,POS
đặc_màu đỏ giao màu cam,NEG
ok tầm giâ,NEU
shop nhiệt_tình tốt_bụng hàng đẹp,POS
tuyệt_vời,POS
áo dày đẹp,POS
hàng y_hình mưa_bão giao chậm_trễ không cặp học khích_lệ,POS
sản_phẩm giống_hình chất_lượng gói hàng cẩn_thận,POS
đẹp ưng_ý,POS
giao hàng hơi hàng hand,NEG
vải đẹp nha,POS
shop size lựa hàng size mặc chật không lắm,NEG
hàng kg hình_shop phục_vụ kém không tiền,NEG
chất_liệu form_dáng đẹp,POS
không tiêu_đề mô_tả sản_phẩm,NEG
shop phục_vụ giao hàng tiền giao hàng chất_lượng sản_phẩm tuyệt_vời,POS
giá tiền giảm_giá chấp_nhận,NEU
không dày không mỏng,POS
bánh chất_lượng giao hàng ủng_hộ tiếp chất_lượng sản_phẩm tuyệt_vời,POS
lai_áo may không,NEG
shop phục_vụ kém chất_lượng sản_phẩm kém,NEG
áo hình đìu màu khôq tươi hình_nhưq áo_ẹp mìh ốm mặc hơi to,POS
giao hàng chủ_shop tuyệt_vời trò ch nhiệt_tình ưng bụg lắm lun àk ngen,POS
sản_phẩm shop,POS
đóng_gói ổn,POS
ưng_ý giá,POS
hàng bó,NEG
không giao áo giao_đại váy không,NEG
hoi vọng,NEG
màu áo không hình_size to,NEG
thư dễ_thương,POS
vận_chuyển,POS
shop chất đẹp phom áo cưng nấc giao hàng gió ủng_hộ,POS
chất_lượng tốt_shop phục_vụ nhiệt_tình tiền,POS
voi gia_ca nhu_vậy ok ui,POS
chất_lượng sản_phẩm tuyệt_vời tiền,POS
đẹp mặc_kích lắm,NEU
gói hàng kỹ ok,POS
áo dây vải dày đẹp,POS
vải giá_cả ok siêu_siêu đẹp,POS
váy xinh hình đường may tỉ_mỉ,POS
không áo hình,NEG
quần bé shop ak,NEG
chất_lượng sản_phẩm tuyệt_vời váy đẹp tiền,POS
điều_túi tận túi hút ẩm to,POS
áo đẹp lắm shop,POS
đóng_gói sản_phẩm giao hàng chất vải không ưng_ý lắm giãn,POS
chất_lượng sản_phẩm tuyệt_vời shop tặng quà kèm,POS
ưng_ý,POS
tuyệt_vời mua shop tặng kèm quà,POS
tiền chất_liệu vải ok_mịn mát,POS
hàg hơi_tệ đóng_gói nản,NEG
dây tuột,POS
chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tiền giao hàng ủng_hộ shop,POS
đóng_gói siêu_đáng yeu sản_phẩm hình,POS
đẹp hàng,POS
cáo_giặt màu,NEG
shop đóng_gói,NEG
chất_lượng shop lộn size xl shop dao_l hên mặt,POS
vớ đẹp,POS
vải đẹp mịn,POS
quắc,NEG
mua đôi,NEU
sản_phẩm chất_lượng giá rẻ,POS
chất_lượng sản_phẩm kém kém_hình đằng nẻo quần rộng to size_sao l_quần lưng ngắn cho_phép không đừng lưng cao_form không ôm rộng rộng xấu kinh_khủng,NEG
đóng_gói móp chút màu hồng đỏ củ_thanh đẹp tặng kèm_viên nén ươm đợi,NEU
chất_lượng sản_phẩm vải mát hoa_văn đẹp,POS
cạp chéo_độ co_giãn bụng bầu hơi vướng tụt,NEG
giao hàng không vớ cam_kết,POS
màu đẹp chất_lượng giá rẻ,POS
đẹp,POS
vai ok mát,POS
áo rộng kg mặc size,NEU
hủy đơn giao,NEG
chat vai không dẹp,NEG
giao_lộn kiểu,NEG
ưng_ý,POS
tiền,POS
bịch bộ_đồ nhàu thẩm_mỹ,NEG
giao hàng áo_hơi ngắn shop,NEU
chất quần_may xấu,NEU
rẻ đẹp mua shop qá đồng,POS
xanh blue shop giao màu xám,NEG
chất phom_dáng ảnh giá tiền chất_lượng thế_này ổn,POS
không thoải_mái lắm,NEG
hàng_không khóa sản_phẩm không báo mua giao hàng hàng,NEG
chất vải mặc ngứa,NEG
khăn hơi mỏng mịn,POS
chất_lượng ok_đáng tiền,POS
hàng xấu,NEG
chất_liệu quần,POS
dán keo thừa_hơi chuyên_nghiệp ok,NEU
hàng chất_lượng sản_phẩm tuyệt_vời tiền,POS
len_hơi xấu đẹp,NEU
ao kg giong hinh kem chat luong,NEG
chất_lượng ok lắm nha,POS
giao hàng đồng_tiền chất_lượng sản_phẩm,POS
áo đẹp dặn áo màu trắng tiền,POS
giao hàng hàng đẹp giống_hình hơi ngắn_xíu,POS
tủ ảnh,POS
trả_lời nhắn_tin,POS
màu cam cháy bật tone da,POS
hàng không size shop dám size mỏi_mắt không size chỗ size to xl,NEG
đừng quảng_cáo không như_vầy,NEG
tiền giao hàng quần_xóc đẹp,POS
vãi shop,NEG
áo siêu đẹp tưởng đẹp,NEG
chất_lượng sản_phẩm hợp giá tiền,POS
giá chất_lượng ổn,POS
áo mỏng,NEG
áo hơi mỏng giá tạm,POS
chúc shop buôn_may đắt,POS
chất_lượng sản_phẩm tuyệt_vời shop tử_tế mua pacific rim la,POS
mặt hơi ngứa,NEG
giao thieu hang,NEG
bực,NEG
chất_lượng không dẹp,NEG
hàng đẹp da mềm,POS
áo đẹp chất_lượng sản_phẩm tuyệt_vời giao hàng,POS
mặn không cay mấy,POS
chất_liệu không hình mỏng bung đường không mặc,NEG
chất_lượng sản_phẩm kém chất_lượng sản_phẩm kém đóng_gói sản_phẩm kém shop phục_vụ kém không tiền,NEG
tháo may,NEG
hàng đẹp chất_lượng ủng_hộ shop,POS
hàng tồi xấu,NEG
giao hàng hơi áo hơi chật,NEG
màu không đẹp ảnh vải đẹp,NEU
mặc thu đẹp,POS
mjnh hơi nho voi dong ho roi,NEU
hàng len_lô đáng_giá,NEG
lỗi,NEU
quần đẹp nhưg chất lượg spham hơi kém xíu,NEU
chất_lượng sản_phẩm tuyệt_vời chất dày dặn,POS
giá chất,POS
đẹp tội hơi shop miêu_tả,POS
chất_liệu vải không đẹp lắm đường may lỏng_lẻo chất_lượng giá tiền không hợp_lý thất_vọng shop,NEG
khách_hàng mua mặc không đề_nghị shop đổi size shop im_lặng không phản_hồi,NEG
phục_vụ kém,NEG
chất_lượng ổn sv giá,POS
chúc shop mua may đắt,POS
mua combo giao,NEG
áo bé tí lớp mặc,NEG
mừng chờ_đợi sản_phẩm tưởng không mong_đợi,NEU
nhắn không trả_lời,NEG
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp hàng đẹp lắm,POS
shop,POS
vải đẹp giá ok,POS
ủng_hộ shop,POS
hàng đẹp hình,POS
áo trễ vai very god,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng,POS
giao hàng,NEG
shop nhiệt_tình chu_đáo,POS
hơi rộng shop,NEG
giao hàng nhanh_shop phục_vụ tốt_shop phục_vụ tốt_shop phục_vụ,POS
shope đơt phí vận_chuyển đắt lazada,NEG
áo hơi mỏng giá ổn,NEU
shop phục_vụ quần vải mát chất_lượng hơi nhìu dư_màu ảnh chút,POS
hài_lòng sản_phẩm chất_lượng,POS
vải dày mịn áo y_hình đẹp,NEG
không nghỉ áo_đẹp,POS
shop phục_vụ chủ shop nhiệt_tình,POS
hang shop rat tot chat luong san_pham đẹp_hon hinh_quang hinh in rat sac net san_pham vo cung_tuyet voi,POS
chất_lượng sản_phẩm tuyệt_vời,POS
ưng lắm shop nhiu nha,POS
chất_lượng sản_phẩm tuyệt_vời quần đẹp,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tốt_shop phục_vụ tốt_shop phục_vụ giao hàng,POS
mặc đẹp nắm,POS
đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém đóng_gói sản_phẩm kém,NEG
đẹp,POS
tiền,POS
shop phục_vụ uy_tín chu_đáo,POS
áo mút mỏng không nâng,NEU
chất mịn đẹp form body mặc siêu_đẹp,POS
mặc xinh,POS
mau khong đẹp nhu_hinh,NEG
hài_lòng giá_cả ok ưng bạn_bè giùm ủng_hộ lâu_dài,POS
dễ_thương hình,POS
màu trắng chất dày_dặn mát,POS
bit bit,NEU
áo đẹp chất vải y_hình,POS
chất_lượng áo tuyệt_vời chất đẹp,NEG
sản_phẩm sạc lâu_nóng hư,NEG
phục_vụ kém,NEG
kg mặc quần trật,NEG
tưởng miếng ai_ngờ shop gửi miếng,NEU
áo from đẹp lắm,POS
chất không đẹp mìg mua chỗ giao sai mẫu mặc_dù shop cũg gđ thôg báo nhưg không hài_lòg lắm,NEG
đóng_gói sản_phẩm vải ok,POS
chất,POS
vải mỏng nóng hàng kg giống_hình miêu_tả,NEG
ủng_hộ shop,POS
áo đẹp lắm chủ_shop tư_vấn nhiệt_tình kèm quà thiệp xinh_xinh,POS
đẹp hj,POS
đáng_giá tiền,POS
size rộng xl áo đẹp,POS
tốn tiền uổng_phí mua đồ không kiếm shop đồ đẹp,POS
vô chat nhắn_tin không trả_lời,NEG
son_màu cam đất giao màu hồng,NEG
áo mặc chuẩn,POS
shop phục_vụ kém giao hàng chậm không tiền,NEG
dương không,NEG
áo đẹp vải,POS
ví_hơi lỗi shop,POS
huhu,NEG
mua áo trắng_kích_cỡ hai mặc quần hơi chật,NEU
toi không ưng áo màu đỏ gửi đât hai ảo gửi khảc vay dầy cột nơ áo màu đỏ ngản cã hai ao may không thẵng bênvdài ngắn may_ảo không eo_gi het áo mỏng_manh,NEG
giá,POS
chủ shop nhiệt_tình trách_nhiệm,POS
shop không giới_thiệu thực chất_lượng quần,NEG
size hơi size,POS
ưng giá tiền,NEU
tặng đôi màu hồng_cute,POS
ưng lắm size hjhj,POS
áo xanh vải ok màu trắng không đẹp,POS
vải mặc không thoải_mái không ảnh mẫu,NEG
ly toan bố,NEU
,NEG
chủ hàng dễ_thương,POS
ủng_hộ shop nè,POS
chất vải form đẹp lắm sh oi,POS
áo đẹp hihi,POS
form quần không đẹp,NEG
sp vận_chuyển rẻ tình,NEG
vải không bay màu giặc,POS
không size size gửi size bé tẹo mặc kiểu,NEG
gội cảm_giác rít tóc,NEG
son lì bền màu uống dây li_chút bám màu,POS
đóng_gói cẩn_thận,POS
hàng đẹp chủng_loại,POS
hàng lỗi áo hơi lem màu,NEG
cà_mã vạch thi không,NEG
váy đẹp mặc,POS
thừa thừa,NEG
nơ không hình,NEG
mặt zễ_thương lắm,POS
áo đẹp dáng rộng chút đẹp oversize,POS
thật_mến chủ_shop cực_kì thân_thiện nhiệt_tình tư_vấn ủng_hộ shop phục_vụ,POS
xấu,NEG
áo thun mịn,POS
chất_lượng sản_phẩm giao hàng,POS
váy_len giao áo_khoác len,NEG
